回看周期,阈值(Z),最终价值,年化收益%,夏普比率,最大回撤%
10,1.0,932224.46,-1.45,-0.59,20.08
10,1.5,890527.9,-2.39,-0.6,23.71
10,2.0,1019900.59,0.41,-0.08,16.07
10,2.5,994729.6,-0.11,-0.67,8.02
20,1.0,801001.82,-4.52,-0.47,31.4
20,1.5,902873.2,-2.11,-0.27,22.44
20,2.0,1144049.71,2.85,0.2,14.31
20,2.5,1132151.44,2.62,0.41,6.95
30,1.0,694132.18,-7.33,-0.49,41.45
30,1.5,765633.59,-5.42,-0.5,33.44
30,2.0,913182.34,-1.88,-0.27,25.64
30,2.5,924510.34,-1.62,-0.47,20.04
40,1.0,764274.7,-5.45,-0.4,37.44
40,1.5,793747.07,-4.7,-0.37,33.0
40,2.0,899147.09,-2.19,-0.2,28.93
40,2.5,805273.57,-4.42,-0.74,29.39
50,1.0,810546.62,-4.29,-0.25,40.79
50,1.5,849121.86,-3.35,-0.22,38.02
50,2.0,821827.01,-4.01,-0.29,34.69
50,2.5,845529.09,-3.44,-0.44,28.54
60,1.0,751563.34,-5.78,-0.37,42.84
60,1.5,848710.68,-3.36,-0.23,39.28
60,2.0,859788.52,-3.1,-0.32,32.47
60,2.5,934992.04,-1.39,-0.24,26.89
