动量周期,持有数量,最终价值,年化收益%,夏普比率,最大回撤%
5,1,1552573.06,9.61,0.34,54.51
5,2,2803332.01,23.99,0.64,47.81
10,1,3531921.8,30.11,0.74,52.69
10,2,2955174.75,25.36,0.69,50.26
15,1,1934859.25,14.76,0.56,52.8
15,2,3334538.65,28.56,0.68,51.44
20,1,3485168.21,29.75,1.02,48.94
20,2,2918492.01,25.04,0.65,51.42
25,1,2584458.0,21.91,0.92,52.26
25,2,2859911.35,24.51,0.61,51.54
30,1,3194736.26,27.42,0.89,48.94
30,2,2615372.38,22.21,0.57,50.14
35,1,3262658.33,27.98,0.9,48.94
35,2,3347162.76,28.66,0.69,47.83
40,1,3204430.5,27.5,0.89,48.94
40,2,3675403.7,31.2,0.74,49.75
45,1,4790718.58,38.66,1.12,48.94
45,2,3282634.03,28.14,0.7,46.08
50,1,3875865.63,32.66,1.03,52.69
50,2,3271396.6,28.05,0.69,46.04
55,1,2995398.06,25.72,0.67,52.26
55,2,2780990.9,23.78,0.59,47.14
60,1,4207281.5,34.95,0.79,48.94
60,2,2794682.63,23.91,0.59,47.44
65,1,4313264.19,35.65,0.88,48.94
65,2,2699553.33,23.02,0.59,46.92
70,1,4177089.49,34.75,0.89,52.69
70,2,2516503.11,21.23,0.58,46.66
75,1,4420042.15,36.35,0.83,52.69
75,2,1860673.45,13.83,0.41,49.8
80,1,3135934.6,26.92,0.86,52.26
80,2,1858428.4,13.8,0.41,53.6
85,1,3254143.39,27.91,0.79,52.69
85,2,1660091.8,11.15,0.36,52.82
90,1,3086050.85,26.5,0.69,52.67
90,2,1586090.53,10.1,0.34,54.03
95,1,2522562.62,21.29,0.54,52.57
95,2,1319589.38,5.96,0.26,52.81
100,1,2908149.48,24.94,0.59,45.3
100,2,1382340.29,6.99,0.28,47.76
105,1,2795325.77,23.92,0.64,34.29
105,2,2114343.58,16.91,0.46,38.6
110,1,3803280.57,32.14,0.74,34.29
110,2,2364447.23,19.66,0.55,37.77
115,1,3873811.6,32.65,0.75,34.29
115,2,2333794.78,19.34,0.51,37.64
120,1,4787748.8,38.64,0.9,34.29
120,2,2546873.49,21.53,0.61,36.19
