名称,代码,预期,操作计划,备注,财报日期
【—— 煤炭采掘 ——】,,,,,
中煤能源,601898,,,,
中国神华,601088,,,,
陕西煤业,601225,,,,
山煤国际,600546,,,,
兖矿能源,600188,,,,
晋控煤业,601001,,,,
陕西能源,001286,,,,
新潮能源,600777,,,,
【—— 石油石化 ——】,,,,,
中国石油,601857,,,,
中国海油,600938,,,,
中国石化,600028,,,,
广汇能源,600256,,,,
宝丰能源,600989,,,,
恒力石化,600346,,,,
卫星化学,002648,,,,
华鲁恒升,600426,,,,
泰山石油,000554,,,,
中曼石油,603619,,,,
【—— 有色金属 ——】,,,,,
紫金矿业,601899,,,,
洛阳钼业,600782,,,,
云铝股份,000807,,,,
神火股份,000933,,,,
中国铝业,600260,,,,
川恒股份,002895,,,,
云天化,600096,,,,
天齐锂业,002466,,,,
赣锋锂业,002460,,,,
湖南黄金,002155,,,,
盐湖股份,000792,,,,
藏格矿业,600011,,,,
【—— 电力新能源 ——】,,,,,
长江电力,600900,,,,
国电电力,600795,,,,
国投电力,600886,,,,
大唐发电,601991,,,,
京能电力,600578,,,,
皖能电力,000543,,,,
华能国际,600011,,,,
华电国际,600027,,,,
华能水电,600025,,,,
川投能源,600674,,,,
龙源电力,001289,,,,
黔源电力,002039,,,,
中国核电,601985,,,,
阳光电源,300274,,,,
金风科技,002202,,,,
宁德时代,300750,,,,
特变电工,600089,,,,
巨化股份,600160,,,,
【—— 化工材料 ——】,,,,,
万华化学,600309,,,,
浙江龙盛,600352,,,,
【—— 钢铁建材 ——】,,,,,
海螺水泥,600585,,,,
【—— 机械制造 ——】,,,,,
中国中车,601766,,,,
中国船舶,600150,,,,
潍柴动力,000338,,,,
赛轮轮胎,601058,,,,
【—— 汽车整车 ——】,,,,,
比亚迪,002594,,,,
福田汽车,600166,,,,
【—— 电子半导体 ——】,,,,,
京东方A,000725,,,,
TCL科技,000100,,,,
【—— 交通运输 ——】,,,,,
青岛港,601298,,,,
大秦铁路,601006,,,,
招商轮船,601872,,,,
中远海能,600026,,,,
中远海控,601919,,,,
招商南油,601975,,,,
圆通速递,600233,,,,
申通快递,002468,,,,
韵达股份,002120,,,,
顺丰控股,002352,,,,
【—— 银行金融 ——】,,,,,
招商银行,600036,,,,
中国平安,601318,,,,
【—— 消费食品 ——】,,,,,
贵州茅台,600519,,,,
五粮液,000858,,,,
泸州老窖,000568,,,,
山西汾酒,600809,,,,
伊利股份,600887,,,,
牧原股份,002714,,,,
【—— 医药医疗 ——】,,,,,
药明康德,603259,,,,
迈瑞医疗,300760,,,,
鱼跃医疗,002223,,,,
【—— 其他 ——】,,,,,
中国移动,600941,,,,
上海机场,600009,,,,
亿纬锂能,300014,,,,
国电南瑞,600406,,,,
华能蒙电,,,,,
【—— 港股 ——】,,,,,
腾讯控股,0700.HK,,,,
招金矿业,1818.HK,,,,
兖煤澳大利亚,03668.HK,,,,
